AREA,Latency,FU,REG,MUX,DEC,Pin_Pair,Net,MISC,CP_delay,BlockMemoryBit,DSP,Fu_ratio,attributes
215,6,34,86,170,4,655,162,7,9.5,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=3
298,8,64,85,231,1,731,164,2,7.97,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
51,8,12,85,37,1,240,73,1,4,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~folding=0
342,10,40,102,296,4,950,238,2,5.79,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=7
344,15,20,85,315,2,847,161,7,4.69,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=0
125,23,28,63,76,11,450,167,10,6.7401,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
309,17,20,90,281,5,771,161,3,4.57,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=1
52,16,20,22,22,4,188,100,6,2.35,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=0
64,16,12,24,35,10,223,109,7,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~folding=1
185,18,24,61,121,11,587,209,29,7.02,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=4
785,12,36,154,737,4,1929,456,8,9.6726,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~folding=0
459,14,42,86,399,6,1156,244,12,9.595,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=3
344,15,20,85,315,2,847,161,7,4.69,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=0
125,23,28,63,76,11,450,167,10,6.7401,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=7
65,9,12,86,50,2,267,77,1,4.57,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~folding=1
508,9,48,101,455,2,1347,330,3,9.72,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=4
97,13,41,34,43,5,304,149,8,5.24,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=3
89,24,20,28,43,5,279,125,21,3.01,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~folding=0
89,24,20,28,43,5,279,125,21,3.01,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=0
298,16,20,86,270,4,755,155,4,4,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=0
61,17,20,26,32,5,206,108,4,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=1
298,16,20,86,270,4,755,155,4,4,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=0
166,17,32,61,96,10,535,197,28,7.4301,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=4
84,25,20,29,38,6,266,123,20,2.97,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~folding=1
52,16,20,22,22,4,188,100,6,2.35,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=0
149,13,32,38,103,7,454,168,7,5.52,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=4
84,25,20,29,38,6,266,123,20,2.97,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~folding=1
54,15,12,23,26,9,204,105,7,2.58,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
128,21,32,41,62,10,371,166,24,2.97,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=3;LOOP_2~folding=1
205,5,50,85,146,2,630,170,7,9.345,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=3
308,16,20,90,281,4,769,158,3,4.57,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=1
185,18,24,61,121,11,587,209,29,7.02,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=7
792,13,36,158,745,5,1953,474,6,9.6726,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~folding=1
147,13,32,38,102,7,452,167,6,4.81,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=4
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=7
298,8,64,85,231,1,731,164,2,7.97,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
75,23,12,31,44,11,245,109,8,2.9201,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~folding=0
61,17,20,26,32,5,206,108,4,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=1
105,12,32,38,61,6,354,148,6,7.16,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=4
792,13,36,158,745,5,1953,474,6,9.6726,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~folding=1
457,12,58,86,383,4,1132,251,12,9.42,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=3
308,16,20,90,281,4,769,158,3,4.57,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~folding=1
152,24,20,63,109,12,502,163,11,6.6,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=4
64,16,12,24,35,10,223,109,7,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~folding=1
205,5,50,85,146,2,630,170,7,9.345,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=3
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=4
54,15,12,23,26,9,204,105,7,2.58,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~folding=0
215,6,34,86,170,4,655,162,7,9.5,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=3
661,5,76,185,580,2,1661,495,3,9.6726,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=7
298,8,64,85,231,1,731,164,2,7.97,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=4
51,8,12,85,37,1,240,73,1,4,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~folding=0
166,17,32,61,96,10,535,197,28,7.4301,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=7
508,9,48,101,455,2,1347,330,3,9.72,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=7
125,23,28,63,76,11,450,167,10,6.7401,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=4
344,15,20,85,315,2,847,161,7,4.69,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=0
51,8,12,85,37,1,240,73,1,4,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~folding=0
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=4
134,12,40,38,83,6,448,171,5,6.35,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=4
93,12,26,31,42,10,309,145,15,4.698,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=3
779,6,60,202,711,4,2040,582,4,9.6726,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=7
344,15,20,85,315,2,847,161,7,4.69,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~folding=0
298,16,20,86,270,4,755,155,4,4,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=0
54,15,12,23,26,9,204,105,7,2.58,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~folding=0
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=4
51,8,12,85,37,1,240,73,1,4,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=0
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=4
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=4
298,8,64,85,231,1,731,164,2,7.97,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=7
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=7
54,15,12,23,26,9,204,105,7,2.58,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=0
134,12,40,38,83,6,448,171,5,6.35,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
51,8,12,85,37,1,240,73,1,4,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=0
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=7
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=4
60,16,20,22,31,4,202,99,5,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~folding=0
54,15,12,23,26,9,204,105,7,2.58,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~folding=0
65,9,12,86,50,2,267,77,1,4.57,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~folding=1
457,12,58,86,383,4,1132,251,12,9.42,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=3
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~unroll_times=7
299,9,64,77,231,2,723,166,2,4.04,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=7
65,9,12,86,50,2,267,77,1,4.57,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~folding=1
146,9,16,44,112,9,492,164,9,6.75,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=4
508,9,48,101,455,2,1347,330,3,9.72,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
147,13,32,38,102,7,452,167,6,4.81,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
54,15,12,23,26,9,204,105,7,2.58,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
197,12,34,55,143,9,605,204,11,7.02,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~unroll_times=7
779,6,60,202,711,4,2040,582,4,9.6726,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=4
344,15,20,85,315,2,847,161,7,4.69,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~folding=0
153,19,50,66,78,14,487,184,11,8.98,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=3;LOOP_2~unroll_times=4
146,9,16,44,112,9,492,164,9,6.75,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=4
146,9,16,44,112,9,492,164,9,6.75,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=7
661,5,76,185,580,2,1661,495,3,9.6726,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=4
54,15,12,23,26,9,204,105,7,2.58,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=0
344,15,20,85,315,2,847,161,7,4.69,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=0
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=7
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=4
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=7
197,12,34,55,143,9,605,204,11,7.02,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~unroll_times=4
54,15,12,23,26,9,204,105,7,2.58,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~folding=0
88,25,25,23,47,9,257,116,7,5.12,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=3
299,9,64,77,231,2,723,166,2,4.04,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=4
92,18,18,31,50,14,277,125,10,5.138,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=3
134,12,40,38,83,6,448,171,5,6.35,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
146,9,16,44,112,9,492,164,9,6.75,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=7
105,12,32,38,61,6,354,148,6,7.16,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=7
51,8,12,85,37,1,240,73,1,4,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
308,16,20,90,281,4,769,158,3,4.57,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=1
146,9,16,44,112,9,492,164,9,6.75,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=7
75,23,12,31,44,11,245,109,8,2.9201,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
344,15,20,85,315,2,847,161,7,4.69,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=0
146,9,16,44,112,9,492,164,9,6.75,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=4
147,13,32,38,102,7,452,167,6,4.81,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=7
134,12,40,38,83,6,448,171,5,6.35,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=7
93,12,26,31,42,10,309,145,15,4.698,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=3
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=7
60,16,20,22,31,4,202,99,5,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=0
152,24,20,63,109,12,502,163,11,6.6,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
60,17,20,26,32,5,204,107,3,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~folding=1
64,16,12,24,35,10,223,109,7,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~folding=1
81,2,32,98,48,1,397,145,0,5.66,0,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=4
68,30,20,22,38,6,223,99,4,2.9201,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~folding=0
125,23,28,63,76,11,450,167,10,6.7401,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
95,18,12,35,47,11,301,136,25,2.97,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~folding=1
198,20,34,66,136,15,621,213,13,6.75,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=3;LOOP_2~unroll_times=7
197,12,34,55,143,9,605,204,11,7.02,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~unroll_times=7
93,12,26,31,42,10,309,145,15,4.698,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=3
68,30,20,22,38,6,223,99,4,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~folding=0
90,17,32,30,43,8,272,131,7,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~folding=1
939,9,74,154,846,5,2314,569,14,9.6726,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=3
105,13,41,34,52,5,318,148,7,5.24,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=3
107,26,32,38,58,10,312,141,7,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=3;LOOP_2~unroll_times=0
344,15,20,85,315,2,847,161,7,4.69,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=0
95,18,12,35,47,11,301,136,25,2.97,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~folding=1
451,13,42,86,391,5,1140,242,13,9.475,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=3
785,12,36,154,737,4,1929,456,8,9.6726,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~folding=0
68,30,20,22,38,6,223,99,4,2.9201,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=0
60,17,20,26,32,5,204,107,3,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~folding=1
95,18,12,35,47,11,301,136,25,2.97,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~folding=1
64,16,12,24,35,10,223,109,7,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~folding=1
105,13,41,34,52,5,318,148,7,5.24,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=3
52,16,20,22,22,4,188,100,6,2.35,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=0
89,24,20,28,43,5,279,125,21,3.01,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~folding=0
84,25,20,29,38,6,266,123,20,2.97,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~folding=1
90,16,32,25,43,7,261,125,8,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~folding=0
147,13,32,38,102,7,452,167,6,4.81,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
93,12,26,31,42,10,309,145,15,4.698,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=3
60,16,20,22,31,4,202,99,5,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~folding=0
508,9,48,101,455,2,1347,330,3,9.72,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
75,23,12,31,44,11,245,109,8,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
92,18,18,31,50,14,277,125,10,5.138,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=3
785,12,36,154,737,4,1929,456,8,9.6726,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=0
95,18,12,35,47,11,301,136,25,2.97,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~folding=1
105,13,41,34,52,5,318,148,7,5.24,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=3
197,12,34,55,143,9,605,204,11,7.02,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~unroll_times=4
152,24,20,63,109,12,502,163,11,6.6,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
68,30,20,22,38,6,223,99,4,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=0
88,25,25,23,47,9,257,116,7,5.12,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=3
68,30,20,22,38,6,223,99,4,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=0
104,19,20,34,41,5,323,149,38,2.97,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~folding=1
105,13,41,34,52,5,318,148,7,5.24,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=3
298,16,20,86,270,4,755,155,4,4,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=0
451,13,42,86,391,5,1140,242,13,9.475,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=3
88,25,25,23,47,9,257,116,7,5.12,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=3
107,26,32,38,58,10,312,141,7,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=3;LOOP_2~folding=0
135,13,53,38,64,8,374,173,10,5.24,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~unroll_times=3
52,16,20,22,22,4,188,100,6,2.35,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=0
104,19,20,34,41,5,323,149,38,2.97,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~folding=1
75,23,12,31,44,11,245,109,8,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~folding=0
60,16,20,22,31,4,202,99,5,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~folding=0
75,23,12,31,44,11,245,109,8,2.9201,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=0
90,16,32,25,43,7,261,125,8,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~folding=0
75,23,12,31,44,11,245,109,8,2.9201,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~folding=0
60,16,20,22,31,4,202,99,5,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=0
97,13,41,34,43,5,304,149,8,5.24,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=3
60,16,20,22,31,4,202,99,5,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=0
146,9,16,44,112,9,492,164,9,6.75,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=4
785,12,36,154,737,4,1929,456,8,9.6726,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=0
