AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,ARRAY_3,LOOP_1,LOOP_2,LOOP_3,LOOP_4,FUNC_1,FUNC_2,FUNC_3,FUNC_4,FUNC_5,FUNC_6,FUNC_7,FUNC_8,Attr
13228,16,493,6966,4744,0,23515,9958,16,16,16.00,1025,-,1.31ns,-,-,-,-,22,-,-,50,Cyber,array=EXPAND+array_index=const,array=RAM,array=EXPAND+array_index=const,unroll_times=all,folding=1,folding=0,unroll_times=0,func=inline,func=inline,func=inline,func=goto,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;50
9234,11,237,5184,2791,0,16102,7250,11,11,11.00,1022,-,1.62ns,-,-,-,-,20,-,-,-50,Cyber,array=REG,array=RAM,array=RAM,folding=0,folding=1,folding=1,folding=0,func=inline,func=goto,func=inline,func=goto,func=inline,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=1;LOOP_4=folding=0;FUNC_1=func=inline;FUNC_2=func=goto;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;-50
18268,5,523,9990,6577,5,31975,13900,5,5,5.00,1173,0,1.44ns,-,-,-,-,11,-,-,0,Cyber,array=REG,array=LOGIC,array=REG,unroll_times=0,folding=0,folding=0,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;0
11909,17,523,6210,4144,0,21323,9223,17,17,17.00,1032,-,1.29ns,-,-,-,-,26,-,-,100,Cyber,array=EXPAND+array_index=const,array=RAM,array=RAM,folding=0,folding=0,folding=0,folding=0,func=inline,func=inline,func=inline,func=inline,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=folding=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;100
15086,12,520,6972,6571,0,27971,11797,12,12,12.00,1023,0,1.31ns,-,-,-,-,18,-,-,100,Cyber,array=LOGIC,array=REG,array=EXPAND+array_index=const,folding=0,unroll_times=0,folding=0,unroll_times=0,func=inline,func=inline,func=inline,func=inline,func=goto,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=REG;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=0;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;100
12452,12,316,6894,4037,0,21802,9760,13,13,13.00,1205,-,1.42ns,-,-,-,-,19,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,array=RAM,folding=0,folding=0,folding=0,folding=1,func=goto,func=goto,func=goto,func=goto,func=inline,func=goto,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=folding=1;FUNC_1=func=goto;FUNC_2=func=goto;FUNC_3=func=goto;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=goto;FUNC_8=func=goto;-100
14011,12,311,9714,2796,0,21883,9825,12,12,12.00,1190,-,1.48ns,-,-,-,-,16,-,-,-50,Cyber,array=RAM,array=RAM,array=REG,unroll_times=all,unroll_times=all,unroll_times=all,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;LOOP_3=unroll_times=all;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=inline;FUNC_8=func=goto;-50
8486,10,232,5310,1895,0,14089,6421,11,11,11.00,1049,-,1.76ns,-,-,-,-,17,-,-,-100,Cyber,array=REG,array=RAM,array=RAM,unroll_times=all,folding=0,unroll_times=0,folding=1,func=inline,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=folding=1;FUNC_1=func=inline;FUNC_2=func=goto;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;-100
10754,8,444,5160,4113,0,19587,8684,9,9,9.00,1037,-,1.29ns,-,-,-,-,15,-,-,-50,Cyber,array=LOGIC,array=LOGIC,array=RAM,folding=0,folding=1,folding=1,folding=1,func=inline,func=goto,func=goto,func=inline,func=inline,func=inline,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=LOGIC;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=1;LOOP_4=folding=1;FUNC_1=func=inline;FUNC_2=func=goto;FUNC_3=func=goto;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=inline;FUNC_8=func=goto;-50
8927,10,237,5292,2355,0,15136,6850,11,11,11.00,1043,-,1.62ns,-,-,-,-,17,-,-,-100,Cyber,array=REG,array=LOGIC,array=RAM,unroll_times=0,folding=1,folding=1,folding=1,func=inline,func=goto,func=goto,func=goto,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=LOGIC;ARRAY_3=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=1;LOOP_3=folding=1;LOOP_4=folding=1;FUNC_1=func=inline;FUNC_2=func=goto;FUNC_3=func=goto;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;-100
12992,9,447,7434,4089,5,22282,9746,9,9,9.00,1017,-,1.29ns,-,-,-,-,15,-,-,100,Cyber,array=EXPAND+array_index=const,array=RAM,array=REG,folding=0,folding=0,folding=0,folding=0,func=inline,func=goto,func=inline,func=goto,func=inline,func=inline,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=folding=0;FUNC_1=func=inline;FUNC_2=func=goto;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=inline;FUNC_8=func=goto;100
10189,9,237,5166,3746,0,18443,8157,10,10,10.00,1040,-,1.62ns,-,-,-,-,16,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,array=RAM,folding=0,folding=0,folding=0,folding=1,func=inline,func=goto,func=goto,func=goto,func=inline,func=goto,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=folding=1;FUNC_1=func=inline;FUNC_2=func=goto;FUNC_3=func=goto;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=goto;FUNC_8=func=goto;-100
15361,11,526,8718,4926,0,26295,11350,11,11,11.00,1191,-,1.23ns,-,-,-,-,17,-,-,100,Cyber,array=RAM,array=LOGIC,array=EXPAND+array_index=const,folding=0,folding=1,folding=0,folding=0,func=goto,func=goto,func=goto,func=inline,func=goto,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=LOGIC;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=folding=0;FUNC_1=func=goto;FUNC_2=func=goto;FUNC_3=func=goto;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;100
14461,11,311,8922,4038,0,24088,10635,11,11,11.00,1190,-,1.46ns,-,-,-,-,18,-,-,-50,Cyber,array=LOGIC,array=RAM,array=REG,unroll_times=all,unroll_times=all,folding=1,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;LOOP_3=folding=1;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=inline;FUNC_8=func=goto;-50
19386,5,1233,9990,6893,0,33905,14745,5,5,5.00,1270,0,1.23ns,-,-,-,-,11,-,-,100,Cyber,array=LOGIC,array=REG,array=EXPAND+array_index=const,folding=0,folding=0,folding=0,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=REG;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;100
14466,11,311,8922,4040,0,24087,10636,11,11,11.00,1193,-,1.495ns,-,-,-,-,18,-,-,-50,Cyber,array=REG,array=RAM,array=REG,unroll_times=all,unroll_times=0,folding=1,unroll_times=0,func=goto,func=inline,func=inline,func=goto,func=inline,func=goto,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;LOOP_3=folding=1;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=goto;FUNC_8=func=goto;-50
16041,10,316,9336,5198,0,27533,12102,10,10,10.00,1191,-,1.495ns,-,-,-,-,20,-,-,-100,Cyber,array=LOGIC,array=EXPAND+array_index=const,array=RAM,folding=0,folding=1,folding=0,folding=0,func=goto,func=inline,func=inline,func=goto,func=inline,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=folding=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;-100
13240,16,505,6972,4733,0,23467,9958,16,16,16.00,1030,-,1.31ns,-,-,-,-,22,-,-,50,Cyber,array=LOGIC,array=RAM,array=EXPAND+array_index=const,unroll_times=0,folding=0,unroll_times=0,unroll_times=0,func=inline,func=inline,func=goto,func=inline,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=goto;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;50
17795,6,523,9990,6102,5,30808,13442,6,6,6.00,1175,0,1.48ns,-,-,-,-,12,-,-,-50,Cyber,array=EXPAND+array_index=const,array=LOGIC,array=REG,unroll_times=0,folding=0,folding=0,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;-50
13464,9,523,6882,4856,0,24026,10700,10,10,10.00,1203,-,1.21ns,-,-,-,-,17,-,-,-50,Cyber,array=EXPAND+array_index=const,array=REG,array=RAM,folding=0,unroll_times=0,unroll_times=0,folding=1,func=goto,func=goto,func=goto,func=inline,func=goto,func=goto,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=0;LOOP_4=folding=1;FUNC_1=func=goto;FUNC_2=func=goto;FUNC_3=func=goto;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=goto;FUNC_7=func=inline;FUNC_8=func=goto;-50
15351,11,523,8718,4925,0,26198,11339,11,11,11.00,1185,-,1.23ns,-,-,-,-,17,-,-,0,Cyber,array=RAM,array=LOGIC,array=EXPAND+array_index=const,unroll_times=0,unroll_times=0,unroll_times=0,unroll_times=0,func=goto,func=goto,func=inline,func=goto,func=goto,func=inline,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=LOGIC;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=goto;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=inline;FUNC_8=func=goto;0
17066,9,1233,9996,4543,5,28440,12737,9,9,9.00,1289,-,1.23ns,-,-,-,-,16,-,-,100,Cyber,array=RAM,array=LOGIC,array=REG,folding=0,folding=0,folding=0,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;100
18778,5,518,9996,7099,0,33083,14153,5,5,5.00,1165,0,1.44ns,-,-,-,-,11,-,-,0,Cyber,array=REG,array=LOGIC,array=REG,unroll_times=all,folding=0,unroll_times=0,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;0
13653,13,450,6204,5968,0,25589,10958,13,13,13.00,1031,-,1.29ns,-,-,-,-,22,-,-,0,Cyber,array=REG,array=LOGIC,array=RAM,unroll_times=0,unroll_times=0,folding=0,unroll_times=0,func=inline,func=inline,func=goto,func=inline,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=LOGIC;ARRAY_3=array=RAM;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=goto;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;0
16588,8,1225,9708,4386,0,27341,12280,8,8,8.00,1269,-,1.21ns,-,-,-,-,11,-,-,100,Cyber,array=REG,array=RAM,array=REG,unroll_times=all,unroll_times=all,unroll_times=all,unroll_times=0,func=goto,func=inline,func=inline,func=inline,func=goto,func=inline,func=inline,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;LOOP_3=unroll_times=all;LOOP_4=unroll_times=0;FUNC_1=func=goto;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=goto;FUNC_6=func=inline;FUNC_7=func=inline;FUNC_8=func=goto;100
12741,16,505,6972,4227,5,22452,9725,16,16,16.00,1032,-,1.29ns,-,-,-,-,22,-,-,50,Cyber,array=LOGIC,array=RAM,array=REG,folding=0,folding=1,folding=0,folding=0,func=inline,func=inline,func=inline,func=inline,func=inline,func=goto,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=folding=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=goto;FUNC_7=func=goto;FUNC_8=func=goto;50
10449,19,520,5418,3483,0,18662,8178,19,19,19.00,1028,-,1.29ns,-,-,-,-,22,-,-,100,Cyber,array=REG,array=RAM,array=RAM,folding=0,folding=0,folding=0,unroll_times=all,func=inline,func=inline,func=inline,func=inline,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=all;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=inline;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;100
12753,16,238,7158,4326,0,22346,9492,16,16,16.00,1031,-,1.42ns,-,-,-,-,22,-,-,-50,Cyber,array=REG,array=RAM,array=EXPAND+array_index=const,unroll_times=all,folding=1,folding=0,unroll_times=0,func=inline,func=inline,func=inline,func=goto,func=inline,func=inline,func=goto,func=goto,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=unroll_times=0;FUNC_1=func=inline;FUNC_2=func=inline;FUNC_3=func=inline;FUNC_4=func=goto;FUNC_5=func=inline;FUNC_6=func=inline;FUNC_7=func=goto;FUNC_8=func=goto;-50
