AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,LOOP_1,LOOP_2,Attr
199,1,199,8,0,0,541,561,1,1,1.00,0,0,10.03ns,-,-,-,-,1,0,9,0,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=all,unroll_times=all,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;0
186,11,40,216,129,11,868,404,11,11,11.00,6,-,7.7701ns,-,-,-,-,27,216,1,-100,Cyber,array=REG,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;-100
199,1,199,8,0,0,541,561,1,1,1.00,0,0,10.03ns,-,-,-,-,1,0,9,100,Cyber,array=REG,array=REG,unroll_times=all,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;100
726,12,84,527,612,12,2549,772,12,12,12.00,18,-,10.9925ns,-,-,-,-,20,144,1,-50,Cyber,array=EXPAND+array_index=const,array=RAM,folding=0,unroll_times=all,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=all;-50
1367,12,58,457,1289,12,3842,840,12,12,12.00,8,0,13.0325ns,-,-,-,-,20,0,1,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=all;-100
199,1,199,8,0,0,541,561,1,1,1.00,0,0,10.03ns,-,-,-,-,1,0,9,50,Cyber,array=RAM,array=RAM,unroll_times=5,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=unroll_times=5;50
176,4,40,263,113,4,794,417,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,-50,Cyber,array=RAM,array=REG,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=0;-50
1084,5,174,195,880,5,2629,768,5,5,5.00,25,-,12.845ns,-,-,-,-,29,72,5,50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=0;50
1333,9,86,288,1166,9,3501,885,9,9,9.00,72,-,14.6325ns,-,-,-,-,22,72,1,0,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=4;0
824,4,40,411,761,4,2252,543,4,4,4.00,19,-,10.21ns,-,-,-,-,28,72,1,-50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;-50
872,3,40,406,805,2,2342,581,3,3,3.00,25,0,10.21ns,-,-,-,-,19,72,1,-50,Cyber,array=REG,array=EXPAND+array_index=const,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=0;-50
386,10,51,405,317,10,1748,603,10,10,10.00,8,0,13.0325ns,-,-,-,-,10,0,1,-100,Cyber,array=RAM,array=RAM,unroll_times=5,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=unroll_times=5;-100
183,10,40,216,127,10,880,451,10,10,10.00,6,0,7.77ns,-,-,-,-,18,216,1,50,Cyber,array=REG,array=REG,unroll_times=all,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;50
430,8,142,295,261,8,1515,722,8,8,8.00,19,-,10.1301ns,-,-,-,-,21,216,3,50,Cyber,array=RAM,array=REG,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;50
678,15,79,288,518,15,2205,744,15,15,15.00,66,-,14.6325ns,-,-,-,-,20,72,1,0,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=all,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=unroll_times=4;0
764,4,174,119,567,4,1879,693,4,4,4.00,19,0,11.755ns,-,-,-,-,20,144,5,50,Cyber,array=EXPAND+array_index=const,array=REG,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=1;50
414,12,84,383,292,12,1760,675,12,12,12.00,26,-,11.9525ns,-,-,-,-,20,72,1,0,Cyber,array=RAM,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;0
574,5,40,263,505,5,1713,540,5,5,5.00,24,0,12.715ns,-,-,-,-,21,0,5,-50,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;-50
521,5,40,126,440,5,1341,490,6,6,6.00,36,-,9.188ns,-,-,-,-,22,144,1,0,Cyber,array=EXPAND+array_index=const,array=RAM,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=folding=1;0
2471,3,53,457,2413,2,5679,1024,3,3,3.00,3,0,10.21ns,-,-,-,-,12,0,1,50,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;50
1055,12,84,383,940,12,3083,819,12,12,12.00,19,-,11.9525ns,-,-,-,-,20,72,1,-50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=5;-50
420,12,84,455,300,12,1794,720,12,12,12.00,24,-,11.59ns,-,-,-,-,20,216,1,0,Cyber,array=REG,array=RAM,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=5;0
176,4,40,263,113,4,794,417,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,100,Cyber,array=RAM,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;100
183,10,40,216,127,10,880,451,10,10,10.00,6,0,7.77ns,-,-,-,-,18,216,1,100,Cyber,array=REG,array=REG,unroll_times=all,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;100
176,4,40,263,113,4,794,417,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,-50,Cyber,array=RAM,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;-50
824,4,40,411,761,4,2252,543,4,4,4.00,19,-,10.21ns,-,-,-,-,28,72,1,-50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=0;-50
198,4,42,54,116,4,606,432,5,5,5.00,36,-,7.1001ns,-,-,-,-,21,216,1,-100,Cyber,array=RAM,array=REG,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=1;-100
186,11,40,216,129,11,868,404,11,11,11.00,6,-,7.7701ns,-,-,-,-,27,216,1,-100,Cyber,array=REG,array=RAM,unroll_times=all,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;-100
206,11,40,55,132,11,730,397,12,12,12.00,23,-,7.1001ns,-,-,-,-,20,216,1,-100,Cyber,array=REG,array=RAM,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=1;-100
347,5,109,290,216,5,1326,660,5,5,5.00,17,0,9.29ns,-,-,-,-,15,216,2,-50,Cyber,array=REG,array=REG,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;-50
329,7,84,358,221,7,1404,669,7,7,7.00,17,0,8.34ns,-,-,-,-,15,216,2,0,Cyber,array=REG,array=REG,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=5;0
186,11,40,216,129,11,876,412,11,11,11.00,6,-,7.7701ns,-,-,-,-,27,216,1,0,Cyber,array=RAM,array=REG,unroll_times=5,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=unroll_times=0;0
1061,8,49,304,970,8,2897,730,8,8,8.00,34,0,14.3525ns,-,-,-,-,20,0,1,-100,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=4;-100
473,10,172,232,267,10,1534,716,10,10,10.00,24,0,13.6ns,-,-,-,-,18,144,5,50,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=5,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=folding=0;50
846,4,42,198,764,4,2058,553,5,5,5.00,36,-,9.54ns,-,-,-,-,21,72,1,-50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=1;-50
828,5,42,195,761,5,2005,531,5,5,5.00,20,-,9.67ns,-,-,-,-,29,72,1,0,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=0;0
1367,12,58,457,1289,12,3842,840,12,12,12.00,8,0,13.0325ns,-,-,-,-,20,0,1,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=5;-100
176,4,40,263,113,4,779,401,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,0,Cyber,array=RAM,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;0
500,4,40,339,437,4,1540,479,4,4,4.00,19,-,9.858ns,-,-,-,-,28,144,1,-100,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;-100
181,11,40,236,124,11,799,387,11,11,11.00,6,-,9.858ns,-,-,-,-,27,144,1,0,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;0
176,4,40,263,113,4,786,409,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,-100,Cyber,array=REG,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;-100
176,4,40,263,113,4,779,401,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,50,Cyber,array=RAM,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;50
347,5,109,290,216,5,1326,660,5,5,5.00,17,0,9.29ns,-,-,-,-,15,216,2,0,Cyber,array=REG,array=REG,folding=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=4;0
418,13,58,385,318,13,1775,658,13,13,13.00,29,-,13.0325ns,-,-,-,-,21,72,1,-100,Cyber,array=RAM,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;-100
414,12,84,383,292,12,1760,675,12,12,12.00,26,-,11.9525ns,-,-,-,-,20,72,1,-50,Cyber,array=RAM,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;-50
172,3,40,262,111,2,795,454,3,3,3.00,19,0,7.77ns,-,-,-,-,19,216,1,100,Cyber,array=REG,array=REG,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=0;100
199,1,199,8,0,0,541,561,1,1,1.00,0,0,10.03ns,-,-,-,-,1,0,9,100,Cyber,array=REG,array=REG,unroll_times=all,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=5;100
186,11,40,216,129,11,868,404,11,11,11.00,6,-,7.7701ns,-,-,-,-,27,216,1,-50,Cyber,array=REG,array=RAM,unroll_times=all,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;-50
201,11,40,127,127,11,725,390,12,12,12.00,23,-,9.188ns,-,-,-,-,20,144,1,-100,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=1;-100
355,9,142,123,185,9,1092,621,9,9,9.00,19,-,10.0001ns,-,-,-,-,22,216,3,50,Cyber,array=RAM,array=RAM,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=4;50
186,11,40,216,129,11,861,396,11,11,11.00,6,-,7.7701ns,-,-,-,-,27,216,1,100,Cyber,array=RAM,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;100
187,5,42,191,113,5,676,382,5,5,5.00,27,-,9.67ns,-,-,-,-,29,72,1,50,Cyber,array=RAM,array=REG,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=0;50
176,4,40,263,113,4,794,417,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,50,Cyber,array=RAM,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;50
186,11,40,216,129,11,861,396,11,11,11.00,6,-,7.7701ns,-,-,-,-,27,216,1,100,Cyber,array=RAM,array=RAM,unroll_times=5,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=0;100
405,13,58,457,313,13,1737,677,13,13,13.00,21,-,10.5001ns,-,-,-,-,21,216,1,-100,Cyber,array=RAM,array=RAM,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=5;-100
726,12,84,527,612,12,2549,772,12,12,12.00,18,-,10.9925ns,-,-,-,-,20,144,1,0,Cyber,array=EXPAND+array_index=const,array=RAM,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=5;0
402,12,84,239,287,12,1472,677,12,12,12.00,19,-,9.4201ns,-,-,-,-,20,216,1,0,Cyber,array=RAM,array=RAM,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=all;0
1933,5,185,376,1708,5,4743,1202,5,5,5.00,35,0,16.722ns,-,-,-,-,15,0,4,0,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=4;0
3006,12,541,476,2362,12,7380,2011,12,12,12.00,91,-,12.15ns,-,-,-,-,21,72,16,50,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=4,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;50
296,2,150,156,145,1,1145,757,2,2,2.00,0,0,12.61ns,-,-,-,-,2,0,5,-50,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=all,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=unroll_times=5;-50
183,10,40,216,127,10,880,451,10,10,10.00,6,0,7.77ns,-,-,-,-,18,216,1,50,Cyber,array=REG,array=REG,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=0;50
868,9,136,287,669,9,2727,983,9,9,9.00,54,0,11.25ns,-,-,-,-,15,216,4,50,Cyber,array=REG,array=REG,unroll_times=4,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;50
176,4,40,263,113,4,794,417,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,0,Cyber,array=RAM,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;0
187,5,42,119,113,5,612,390,5,5,5.00,27,-,9.318ns,-,-,-,-,29,144,1,-50,Cyber,array=REG,array=RAM,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;-50
828,5,42,195,761,5,2005,531,5,5,5.00,20,-,9.67ns,-,-,-,-,29,72,1,-50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=0;-50
615,8,52,291,518,8,1914,616,8,8,8.00,37,-,7.7701ns,-,-,-,-,28,216,1,-50,Cyber,array=REG,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;-50
1328,7,55,350,1199,7,3547,933,7,7,7.00,67,0,10.21ns,-,-,-,-,19,144,1,-100,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;-100
614,8,49,291,519,8,1905,614,8,8,8.00,38,-,7.7701ns,-,-,-,-,28,216,1,-100,Cyber,array=REG,array=RAM,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;-100
199,1,199,8,0,0,541,561,1,1,1.00,0,0,10.03ns,-,-,-,-,1,0,9,0,Cyber,array=RAM,array=REG,unroll_times=5,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=unroll_times=5;0
198,4,42,50,116,4,585,411,5,5,5.00,36,-,7.1001ns,-,-,-,-,21,216,1,-100,Cyber,array=RAM,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;-100
631,8,49,58,519,8,1679,622,9,9,9.00,55,-,7.1001ns,-,-,-,-,21,216,1,-100,Cyber,array=REG,array=RAM,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=1;-100
434,5,176,266,237,5,1407,714,5,5,5.00,16,0,9.62ns,-,-,-,-,15,216,4,100,Cyber,array=REG,array=REG,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;100
180,5,42,47,113,5,532,389,5,5,5.00,20,-,7.2301ns,-,-,-,-,29,216,1,50,Cyber,array=RAM,array=RAM,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=0;50
199,1,199,8,0,0,541,561,1,1,1.00,0,0,10.03ns,-,-,-,-,1,0,9,0,Cyber,array=RAM,array=RAM,unroll_times=all,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;0
616,8,53,291,518,8,1908,612,8,8,8.00,37,-,7.7701ns,-,-,-,-,28,216,1,100,Cyber,array=RAM,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;100
176,4,40,263,113,4,779,401,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,-50,Cyber,array=RAM,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;-50
792,3,172,334,592,2,2202,750,3,3,3.00,26,0,13.6ns,-,-,-,-,19,144,5,50,Cyber,array=EXPAND+array_index=const,array=REG,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=0;50
441,12,58,457,345,12,1891,737,12,12,12.00,26,0,13.63ns,-,-,-,-,20,216,1,-100,Cyber,array=REG,array=REG,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=5;-100
