AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,LOOP_1,LOOP_2,Attr
3940,4,1216,1572,1125,0,6811,2996,4,4,4.00,27,0,3.6967ns,-,-,-,-,20,-,-,-50,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=0;-50
3045,5,1207,756,1031,0,5828,2555,6,6,6.00,51,-,3.634ns,-,-,-,-,22,-,-,-100,Cyber,array=EXPAND+array_index=const,array=RAM,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=folding=1;-100
4184,4,1213,1182,1739,0,8284,3376,5,5,5.00,50,-,3.6767ns,-,-,-,-,21,-,-,0,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=folding=1;0
7273,3,5143,1572,547,0,10972,5247,3,3,3.00,11,0,3.9517ns,-,-,-,-,11,-,-,-50,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=1;-50
2886,11,1207,1194,430,0,4662,2325,12,12,12.00,55,-,3.6767ns,-,-,-,-,20,-,-,-100,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=5;LOOP_2=folding=1;-100
3276,9,1383,1314,532,0,5487,2689,9,9,9.00,47,-,4.39ns,-,-,-,-,22,-,-,-50,Cyber,array=RAM,array=REG,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=4;-50
4798,12,1327,1998,1424,0,8829,3780,12,12,12.00,49,0,4.0702ns,-,-,-,-,20,-,-,-100,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=5;-100
6634,12,1327,2910,2347,0,12491,5060,12,12,12.00,50,0,4.0702ns,-,-,-,-,20,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=5;-100
13838,5,10749,1170,1885,0,23609,10790,5,5,5.00,34,-,3.6968ns,-,-,-,-,29,-,-,100,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=0;100
17368,5,12896,1596,2807,0,29912,13197,5,5,5.00,69,0,6.0839ns,-,-,-,-,15,-,-,-50,Cyber,array=REG,array=EXPAND+array_index=const,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=4;-50
3221,2,1207,1566,445,0,4717,2318,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,0,Cyber,array=REG,array=REG,unroll_times=all,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;0
5253,5,1207,1578,2457,0,10593,4129,5,5,5.00,11,0,3.6767ns,-,-,-,-,21,-,-,100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;100
6634,12,1327,2910,2347,0,12491,5060,12,12,12.00,50,0,4.0702ns,-,-,-,-,20,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=unroll_times=5;-100
3955,15,1427,1152,1233,0,8122,3492,15,15,15.00,143,-,4.8509ns,-,-,-,-,20,-,-,-50,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=5,unroll_times=4,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=unroll_times=4;-50
3264,3,1207,1572,479,0,4902,2400,3,3,3.00,6,0,3.6767ns,-,-,-,-,11,-,-,-50,Cyber,array=REG,array=REG,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=folding=1;-50
7643,8,1245,2364,3950,0,16199,6108,8,8,8.00,84,-,3.7367ns,-,-,-,-,28,-,-,0,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=4;LOOP_2=folding=0;0
7669,12,5898,1140,591,0,12656,6105,12,12,12.00,40,-,5.204ns,-,-,-,-,20,-,-,50,Cyber,array=RAM,array=RAM,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=5;50
2883,12,1494,702,642,0,5660,2663,12,12,12.00,45,-,3.6991ns,-,-,-,-,20,-,-,-50,Cyber,array=RAM,array=RAM,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=5;-50
7831,4,5898,1536,374,0,12242,6021,4,4,4.00,23,0,5.154ns,-,-,-,-,12,-,-,-50,Cyber,array=REG,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;-50
9939,4,5898,2736,1283,0,16113,7458,4,4,4.00,22,0,5.154ns,-,-,-,-,12,-,-,-50,Cyber,array=EXPAND+array_index=const,array=REG,folding=0,unroll_times=all,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=all;-50
5160,12,1494,1566,2055,0,10589,4306,12,12,12.00,45,-,3.9952ns,-,-,-,-,20,-,-,-50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=all;-50
2367,11,1207,762,343,0,3995,2024,12,12,12.00,55,-,3.634ns,-,-,-,-,20,-,-,-50,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=1;-50
3264,3,1207,1572,479,0,4902,2409,3,3,3.00,6,0,3.6767ns,-,-,-,-,11,-,-,-100,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=folding=1;-100
2332,11,1207,762,324,0,3863,1952,12,12,12.00,39,-,3.634ns,-,-,-,-,20,-,-,-50,Cyber,array=REG,array=RAM,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=1;-50
1840,4,1213,294,290,0,3243,1677,5,5,5.00,43,-,3.2968ns,-,-,-,-,21,-,-,0,Cyber,array=RAM,array=RAM,unroll_times=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=1;0
3264,4,1213,1572,451,0,4862,2404,4,4,4.00,28,0,3.6967ns,-,-,-,-,20,-,-,-100,Cyber,array=REG,array=REG,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=folding=0;-100
5951,8,1245,2028,2594,0,12018,4785,8,8,8.00,84,-,3.694ns,-,-,-,-,28,-,-,0,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;0
5163,12,1494,2046,1576,0,9796,4189,12,12,12.00,47,-,3.9052ns,-,-,-,-,20,-,-,-50,Cyber,array=EXPAND+array_index=const,array=RAM,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=5;-50
2851,11,1207,1194,411,0,4530,2253,12,12,12.00,39,-,3.6767ns,-,-,-,-,20,-,-,0,Cyber,array=RAM,array=REG,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=folding=1;0
12489,11,10743,1032,674,0,20081,9631,11,11,11.00,40,-,3.7368ns,-,-,-,-,27,-,-,100,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;100
5253,5,1207,1578,2457,0,10593,4129,5,5,5.00,11,0,3.6767ns,-,-,-,-,21,-,-,50,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;50
3300,5,1207,1578,486,0,5036,2478,5,5,5.00,29,0,3.6767ns,-,-,-,-,21,-,-,100,Cyber,array=REG,array=REG,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;100
11834,5,9079,1578,1148,0,18446,8547,5,5,5.00,29,0,3.6767ns,-,-,-,-,21,-,-,0,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;0
3221,2,1207,1566,445,0,4717,2318,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,100,Cyber,array=REG,array=REG,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=0;100
3221,2,1207,1566,445,0,4717,2327,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,-100,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=0;-100
2886,11,1207,1194,430,0,4662,2325,12,12,12.00,55,-,3.6767ns,-,-,-,-,20,-,-,-50,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=5;LOOP_2=folding=1;-50
3221,2,1207,1566,445,0,4717,2318,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,0,Cyber,array=REG,array=REG,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=0;0
2964,11,1207,1296,437,0,4708,2301,11,11,11.00,24,-,3.694ns,-,-,-,-,27,-,-,-100,Cyber,array=REG,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;-100
13865,5,10743,1188,1883,0,23635,10800,6,6,6.00,51,-,3.6768ns,-,-,-,-,22,-,-,100,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;100
5253,5,1207,1578,2457,0,10593,4129,5,5,5.00,11,0,3.6767ns,-,-,-,-,21,-,-,-50,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;-50
3966,5,1207,1578,1152,0,6944,3054,5,5,5.00,29,0,3.6767ns,-,-,-,-,21,-,-,-100,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;-100
2332,11,1207,762,324,0,3863,1952,12,12,12.00,39,-,3.634ns,-,-,-,-,20,-,-,100,Cyber,array=REG,array=RAM,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=1;100
12115,11,10743,762,555,0,19538,9501,12,12,12.00,55,-,3.6768ns,-,-,-,-,20,-,-,100,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=1;100
3116,11,1207,1416,468,0,4901,2381,11,11,11.00,25,-,3.7367ns,-,-,-,-,27,-,-,0,Cyber,array=RAM,array=REG,unroll_times=5,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=folding=0;0
1817,5,1213,282,295,0,3228,1675,5,5,5.00,27,-,3.3168ns,-,-,-,-,29,-,-,-50,Cyber,array=RAM,array=RAM,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=0;-50
5912,7,1245,2940,1644,30,10587,4586,7,7,7.00,53,0,3.7367ns,-,-,-,-,19,-,-,0,Cyber,array=REG,array=REG,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;0
6009,3,1207,2772,2003,0,10569,4381,3,3,3.00,27,0,3.7367ns,-,-,-,-,19,-,-,-50,Cyber,array=REG,array=EXPAND+array_index=const,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;-50
3221,2,1207,1566,445,0,4717,2327,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=0;-100
3264,3,1207,1572,479,0,4902,2400,3,3,3.00,6,0,3.6767ns,-,-,-,-,11,-,-,-50,Cyber,array=REG,array=REG,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=1;-50
3264,3,1207,1572,479,0,4902,2418,3,3,3.00,6,0,3.6767ns,-,-,-,-,11,-,-,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=1;-100
