AREA,Latency,FU,REG,MUX,DEC,Pin_Pair,Net,MISC,CP_delay,BlockMemoryBit,DSP,Fu_ratio,attributes
532,38,162,105,321,16,1752,603,33,14.128,93,1,0,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=all;LOOP_2~folding=0;LOOP_3~unroll_times=all;LOOP_4~unroll_times=all;LOOP_5~unroll_times=0
347,29,138,113,166,6,1103,406,37,14.128,123,2,-50,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=REG;LOOP_1~folding=0;LOOP_2~folding=0;LOOP_3~folding=0;LOOP_4~unroll_times=0;LOOP_5~unroll_times=0
689,20,134,185,454,5,2504,735,96,14.628,54,2,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~unroll_times=0;LOOP_5~folding=1
812,18,201,107,544,7,2451,770,60,14.628,96,0,-50,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~unroll_times=0;LOOP_5~unroll_times=0
724,22,133,204,478,5,2678,782,108,15.198,27,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=REG;ARRAY_3~array=REG;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~folding=0;LOOP_3~unroll_times=0;LOOP_4~unroll_times=0;LOOP_5~folding=1
896,24,138,155,679,8,3067,901,71,19.4491,24,3,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=REG;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=0;LOOP_3~folding=1;LOOP_4~unroll_times=0;LOOP_5~unroll_times=0
278,10,99,106,167,6,887,332,6,13.29,24,0,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=all;LOOP_2~folding=0;LOOP_3~folding=0;LOOP_4~unroll_times=all;LOOP_5~unroll_times=all
679,38,167,128,399,9,2270,607,104,19.74,99,1,-50,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~folding=0;LOOP_5~folding=0
644,9,130,181,435,4,2280,668,75,15.23,0,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=REG;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=1;LOOP_5~folding=0
838,20,164,135,514,9,2918,862,151,19.54,72,0,-50,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=1;LOOP_5~folding=1
827,25,103,179,675,6,3242,790,43,20.05,27,1,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=0;LOOP_5~folding=0
416,9,195,83,175,6,1143,444,40,14.128,72,5,0,ARRAY_1~array=RAM;ARRAY_2~array=REG;ARRAY_3~array=REG;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~unroll_times=all
890,29,83,179,748,6,3570,833,53,21.758,27,1,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=REG;ARRAY_3~array=REG;ARRAY_4~array=RAM;LOOP_1~folding=0;LOOP_2~folding=0;LOOP_3~folding=0;LOOP_4~unroll_times=0;LOOP_5~folding=0
423,16,234,109,141,7,1122,485,41,13.028,117,5,0,ARRAY_1~array=REG;ARRAY_2~array=REG;ARRAY_3~array=REG;ARRAY_4~array=RAM;LOOP_1~unroll_times=0;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~unroll_times=all
701,13,165,109,485,7,2464,754,44,25.24,72,2,-50,ARRAY_1~array=REG;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~folding=0;LOOP_5~unroll_times=all
534,13,207,151,293,7,1670,590,27,14.518,24,5,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~folding=0;LOOP_4~folding=0;LOOP_5~unroll_times=all
569,30,173,88,318,8,1776,609,70,14.628,147,1,-50,ARRAY_1~array=REG;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=RAM;LOOP_1~unroll_times=0;LOOP_2~folding=0;LOOP_3~unroll_times=0;LOOP_4~unroll_times=0;LOOP_5~folding=1
725,28,100,156,575,8,2894,727,42,20.8769,51,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=RAM;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~unroll_times=0;LOOP_5~folding=0
708,19,126,175,540,7,2487,725,35,15.5664,0,3,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=REG;LOOP_1~folding=0;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~unroll_times=all;LOOP_5~unroll_times=0
670,18,132,178,479,5,2248,677,54,15.23,0,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=all;LOOP_3~folding=0;LOOP_4~folding=0;LOOP_5~folding=1
846,36,220,138,492,6,2747,893,128,21.76,72,0,0,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=all;LOOP_2~folding=1;LOOP_3~folding=1;LOOP_4~unroll_times=0;LOOP_5~unroll_times=0
700,11,136,181,482,5,2308,697,77,15.23,0,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=REG;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=1;LOOP_5~folding=0
747,12,170,183,496,7,2538,790,74,15.655,0,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=1;LOOP_3~folding=1;LOOP_4~folding=1;LOOP_5~folding=1
689,21,126,156,499,7,2545,714,57,14.918,24,5,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~folding=0;LOOP_4~folding=0;LOOP_5~folding=1
563,33,148,122,365,14,1900,571,36,15.0164,72,2,-50,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~folding=0;LOOP_4~folding=0;LOOP_5~unroll_times=all
856,14,171,166,555,45,2783,895,85,14.628,51,1,-50,ARRAY_1~array=REG;ARRAY_2~array=REG;ARRAY_3~array=RAM;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=all;LOOP_3~folding=1;LOOP_4~folding=0;LOOP_5~folding=1
599,7,254,78,311,5,1749,637,29,14.715,72,3,0,ARRAY_1~array=REG;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~unroll_times=all
439,10,158,117,209,7,1278,438,65,14.628,99,2,-50,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=REG;ARRAY_4~array=RAM;LOOP_1~folding=0;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~folding=0;LOOP_5~folding=1
806,25,139,206,562,5,2813,876,100,15.01,27,3,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=0;LOOP_3~folding=0;LOOP_4~unroll_times=0;LOOP_5~folding=1
634,18,171,110,382,9,2125,745,72,18.26,84,2,-50,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~unroll_times=all;LOOP_5~folding=1
672,10,132,178,479,6,2251,681,55,15.23,0,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=all;LOOP_3~folding=0;LOOP_4~folding=0;LOOP_5~folding=1
598,26,164,86,360,12,1904,629,62,14.518,120,2,0,ARRAY_1~array=REG;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=REG;LOOP_1~unroll_times=0;LOOP_2~folding=0;LOOP_3~folding=1;LOOP_4~unroll_times=all;LOOP_5~folding=1
400,27,144,123,208,12,1441,487,36,14.128,105,3,-50,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=0;LOOP_5~unroll_times=all
803,30,133,184,572,21,2851,787,77,17.5607,0,0,0,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~folding=1;LOOP_4~unroll_times=0;LOOP_5~folding=0
746,24,129,164,503,9,2487,767,105,15.23,24,2,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=0;LOOP_3~folding=1;LOOP_4~unroll_times=0;LOOP_5~folding=1
546,15,162,177,356,7,1906,627,21,14.38,33,4,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~unroll_times=0;LOOP_5~unroll_times=all
741,23,235,184,351,9,2471,893,146,14.2,72,4,-50,ARRAY_1~array=RAM;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=1;LOOP_5~unroll_times=all
534,22,161,114,315,6,1685,561,52,14.628,96,1,0,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~folding=0;LOOP_3~unroll_times=0;LOOP_4~unroll_times=0;LOOP_5~folding=1
798,17,141,200,535,6,2771,844,116,14.128,27,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=RAM;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=1;LOOP_3~folding=0;LOOP_4~folding=1;LOOP_5~folding=1
496,16,169,88,287,8,1677,558,32,14.9501,117,4,0,ARRAY_1~array=REG;ARRAY_2~array=RAM;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~folding=0;LOOP_5~unroll_times=all
765,16,238,87,463,7,2364,848,57,13.028,120,0,-50,ARRAY_1~array=REG;ARRAY_2~array=REG;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~folding=0;LOOP_3~unroll_times=0;LOOP_4~folding=1;LOOP_5~folding=1
732,22,133,204,486,5,2704,790,108,15.198,27,2,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=REG;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~folding=0;LOOP_3~unroll_times=0;LOOP_4~unroll_times=0;LOOP_5~folding=1
229,18,110,78,90,11,653,305,18,10.06,120,0,-50,ARRAY_1~array=REG;ARRAY_2~array=RAM;ARRAY_3~array=RAM;ARRAY_4~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=0;LOOP_4~unroll_times=all;LOOP_5~unroll_times=all
282,9,73,125,189,8,903,338,12,14.8476,24,0,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=RAM;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~unroll_times=all;LOOP_5~unroll_times=all
554,13,201,178,314,5,1674,609,34,15.1,0,5,-50,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~unroll_times=all
585,18,161,110,346,9,1951,686,69,14.628,84,2,0,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=RAM;LOOP_1~unroll_times=0;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~unroll_times=all;LOOP_5~folding=1
706,10,177,186,429,29,2292,734,71,14.128,27,1,0,ARRAY_1~array=REG;ARRAY_2~array=EXPAND+array_index=const;ARRAY_3~array=EXPAND+array_index=const;ARRAY_4~array=RAM;LOOP_1~unroll_times=all;LOOP_2~folding=1;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~folding=1
166,1,120,32,44,0,342,207,2,10.06,0,0,0,ARRAY_1~array=EXPAND+array_index=const;ARRAY_2~array=RAM;ARRAY_3~array=REG;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~unroll_times=all;LOOP_5~unroll_times=all
416,9,195,83,175,6,1143,444,40,14.128,72,5,0,ARRAY_1~array=RAM;ARRAY_2~array=RAM;ARRAY_3~array=REG;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~unroll_times=all
413,8,195,78,187,6,1161,460,25,14.128,72,5,-50,ARRAY_1~array=REG;ARRAY_2~array=REG;ARRAY_3~array=REG;ARRAY_4~array=REG;LOOP_1~unroll_times=all;LOOP_2~unroll_times=all;LOOP_3~unroll_times=all;LOOP_4~folding=1;LOOP_5~unroll_times=all
